ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END
ENSG00000103460	TOX3	TOX high mobility group box family member 3	protein_coding	16	52471917	52581714
ENSG00000103472	RRN3P2	RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 2	pseudogene	16	29086163	29128039
ENSG00000103479	RBL2	retinoblastoma-like 2 (p130)	protein_coding	16	53467889	53524951
ENSG00000103485	QPRT	quinolinate phosphoribosyltransferase	protein_coding	16	29690329	29710020
ENSG00000103489	XYLT1	xylosyltransferase I	protein_coding	16	17195626	17564738
ENSG00000103490	PYCARD	PYD and CARD domain containing	protein_coding	16	31212806	31213780
ENSG00000103494	RPGRIP1L	RPGRIP1-like	protein_coding	16	53631595	53737850
ENSG00000103495	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	protein_coding	16	29817427	29823426
ENSG00000103496	STX4	syntaxin 4	protein_coding	16	31044210	31054296
ENSG00000103502	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	protein_coding	16	29869678	29875057
ENSG00000103507	BCKDK	branched chain ketoacid dehydrogenase kinase	protein_coding	16	31117428	31124110
ENSG00000103510	KAT8	K(lysine) acetyltransferase 8	protein_coding	16	31127075	31142714
ENSG00000103512	NOMO1	NODAL modulator 1	protein_coding	16	14927538	14990017
ENSG00000103522	IL21R	interleukin 21 receptor	protein_coding	16	27413483	27462115
ENSG00000103528	SYT17	synaptotagmin XVII	protein_coding	16	19179293	19279652
ENSG00000103534	TMC5	transmembrane channel-like 5	protein_coding	16	19421818	19510435
ENSG00000103540	CCP110	centriolar coiled coil protein 110kDa	protein_coding	16	19535133	19564730
ENSG00000103544	C16orf62	chromosome 16 open reading frame 62	protein_coding	16	19566562	19712448
ENSG00000103546	SLC6A2	solute carrier family 6 (neurotransmitter transporter), member 2	protein_coding	16	55689516	55740104
ENSG00000103549	RNF40	ring finger protein 40, E3 ubiquitin protein ligase	protein_coding	16	30774439	30787628
ENSG00000103550	KNOP1	lysine-rich nucleolar protein 1	protein_coding	16	19714902	19729016
ENSG00000103569	AQP9	aquaporin 9	protein_coding	15	58430368	58478110
ENSG00000103591	AAGAB	alpha- and gamma-adaptin binding protein	protein_coding	15	67493371	67547074
ENSG00000103599	IQCH	IQ motif containing H	protein_coding	15	67547138	67794598
ENSG00000103642	LACTB	lactamase, beta	protein_coding	15	63413999	63434260
ENSG00000103647	CORO2B	coronin, actin binding protein, 2B	protein_coding	15	68871308	69020145
ENSG00000103653	CSK	c-src tyrosine kinase	protein_coding	15	75074398	75095539
ENSG00000103657	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	protein_coding	15	63900817	64126141
ENSG00000103671	TRIP4	thyroid hormone receptor interactor 4	protein_coding	15	64679947	64747502
ENSG00000103707	MTFMT	mitochondrial methionyl-tRNA formyltransferase	protein_coding	15	65294845	65321977
ENSG00000103710	RASL12	RAS-like, family 12	protein_coding	15	65345735	65369028
ENSG00000103723	AP3B2	adaptor-related protein complex 3, beta 2 subunit	protein_coding	15	83328033	83378666
ENSG00000103740	ACSBG1	acyl-CoA synthetase bubblegum family member 1	protein_coding	15	78459810	78538030
ENSG00000103742	IGDCC4	immunoglobulin superfamily, DCC subclass, member 4	protein_coding	15	65673802	65715410
ENSG00000103769	RAB11A	RAB11A, member RAS oncogene family	protein_coding	15	66018392	66184329
ENSG00000103811	CTSH	cathepsin H	protein_coding	15	79213400	79241916
ENSG00000103832	GOLGA8UP	golgin A8 family, member U, pseudogene	pseudogene	15	31083776	31094062
ENSG00000103852	TTC23	tetratricopeptide repeat domain 23	protein_coding	15	99676528	99791428
ENSG00000103855	CD276	CD276 molecule	protein_coding	15	73976307	74006859
ENSG00000103876	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	protein_coding	15	80444832	80479288
ENSG00000103888	KIAA1199	KIAA1199	protein_coding	15	81071684	81244117
ENSG00000103932	RPAP1	RNA polymerase II associated protein 1	protein_coding	15	41809374	41836467
ENSG00000103942	HOMER2	homer homolog 2 (Drosophila)	protein_coding	15	83509838	83654661
ENSG00000103966	EHD4	EH-domain containing 4	protein_coding	15	42190950	42264776
ENSG00000103978	TMEM87A	transmembrane protein 87A	protein_coding	15	42502730	42565276
ENSG00000103994	ZNF106	zinc finger protein 106	protein_coding	15	42705021	42783321
ENSG00000103995	CEP152	centrosomal protein 152kDa	protein_coding	15	49005125	49102791
ENSG00000104043	ATP8B4	ATPase, class I, type 8B, member 4	protein_coding	15	50150435	50411654
ENSG00000104044	OCA2	oculocutaneous albinism II	protein_coding	15	28000021	28344504
ENSG00000104047	DTWD1	DTW domain containing 1	protein_coding	15	49913177	49937333
ENSG00000104055	TGM5	transglutaminase 5	protein_coding	15	43524793	43559055
ENSG00000104059	FAM189A1	family with sequence similarity 189, member A1	protein_coding	15	29412457	29862927
ENSG00000104064	GABPB1	GA binding protein transcription factor, beta subunit 1	protein_coding	15	50569389	50647524
ENSG00000104067	TJP1	tight junction protein 1	protein_coding	15	29991571	30261068
ENSG00000104081	BMF	Bcl2 modifying factor	protein_coding	15	40380091	40401093
ENSG00000104093	DMXL2	Dmx-like 2	protein_coding	15	51739908	51915030
ENSG00000104112	SCG3	secretogranin III	protein_coding	15	51973550	52013223
ENSG00000104129	DNAJC17	DnaJ (Hsp40) homolog, subfamily C, member 17	protein_coding	15	41060067	41072765
ENSG00000104131	EIF3J	eukaryotic translation initiation factor 3, subunit J	protein_coding	15	44829255	44854893
ENSG00000104133	SPG11	spastic paraplegia 11 (autosomal recessive)	protein_coding	15	44855002	44955876
ENSG00000104140	RHOV	ras homolog family member V	protein_coding	15	41164412	41166487
ENSG00000104142	VPS18	vacuolar protein sorting 18 homolog (S. cerevisiae)	protein_coding	15	41186628	41196173
ENSG00000104147	OIP5	Opa interacting protein 5	protein_coding	15	41601902	41624819
ENSG00000104154	SLC30A4	solute carrier family 30 (zinc transporter), member 4	protein_coding	15	45771943	45815005
ENSG00000104164	BLOC1S6	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin	protein_coding	15	45879321	45908197
ENSG00000104177	MYEF2	myelin expression factor 2	protein_coding	15	48431625	48470714
ENSG00000104205	SGK3	serum/glucocorticoid regulated kinase family, member 3	protein_coding	8	67624653	67774257
ENSG00000104213	PDGFRL	platelet-derived growth factor receptor-like	protein_coding	8	17433942	17501303
ENSG00000104218	CSPP1	centrosome and spindle pole associated protein 1	protein_coding	8	67974661	68108498
ENSG00000104219	ZDHHC2	zinc finger, DHHC-type containing 2	protein_coding	8	17013538	17082308
ENSG00000104221	BRF2	BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit	protein_coding	8	37702415	37707422
ENSG00000104228	TRIM35	tripartite motif containing 35	protein_coding	8	27142404	27168836
ENSG00000104231	ZFAND1	zinc finger, AN1-type domain 1	protein_coding	8	82613957	82645116
ENSG00000104237	RP1	retinitis pigmentosa 1 (autosomal dominant)	protein_coding	8	55528627	55543394
ENSG00000104267	CA2	carbonic anhydrase II	protein_coding	8	86376081	86393722
ENSG00000104290	FZD3	frizzled family receptor 3	protein_coding	8	28351729	28431775
ENSG00000104299	INTS9	integrator complex subunit 9	protein_coding	8	28625178	28747759
ENSG00000104312	RIPK2	receptor-interacting serine-threonine kinase 2	protein_coding	8	90769975	90803291
ENSG00000104313	EYA1	eyes absent homolog 1 (Drosophila)	protein_coding	8	72109668	72274467
ENSG00000104320	NBN	nibrin	protein_coding	8	90945564	91015456
ENSG00000104324	CPQ	carboxypeptidase Q	protein_coding	8	97657455	98161882
ENSG00000104325	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	protein_coding	8	91013633	91064320
ENSG00000104327	CALB1	calbindin 1, 28kDa	protein_coding	8	91070836	91107703
ENSG00000104331	IMPAD1	inositol monophosphatase domain containing 1	protein_coding	8	57870492	57906403
ENSG00000104332	SFRP1	secreted frizzled-related protein 1	protein_coding	8	41119481	41167016
ENSG00000104341	LAPTM4B	lysosomal protein transmembrane 4 beta	protein_coding	8	98787285	98865241
ENSG00000104343	UBE2W	ubiquitin-conjugating enzyme E2W (putative)	protein_coding	8	74692332	74791145
ENSG00000104356	POP1	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)	protein_coding	8	99129525	99172062
ENSG00000104361	NIPAL2	NIPA-like domain containing 2	protein_coding	8	99202061	99306621
ENSG00000104365	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	protein_coding	8	42128820	42189968
ENSG00000104368	PLAT	plasminogen activator, tissue	protein_coding	8	42032236	42065242
ENSG00000104369	JPH1	junctophilin 1	protein_coding	8	75146935	75233563
ENSG00000104371	DKK4	dickkopf WNT signaling pathway inhibitor 4	protein_coding	8	42231586	42234750
ENSG00000104375	STK3	serine/threonine kinase 3	protein_coding	8	99413631	99955055
ENSG00000104381	GDAP1	ganglioside induced differentiation associated protein 1	protein_coding	8	75233749	75401107
ENSG00000104388	RAB2A	RAB2A, member RAS oncogene family	protein_coding	8	61429416	61536186
ENSG00000104408	EIF3E	eukaryotic translation initiation factor 3, subunit E	protein_coding	8	109213972	109447562
ENSG00000104412	EMC2	ER membrane protein complex subunit 2	protein_coding	8	109455830	109499141
ENSG00000104413	ESRP1	epithelial splicing regulatory protein 1	protein_coding	8	95653302	95719694
ENSG00000104415	WISP1	WNT1 inducible signaling pathway protein 1	protein_coding	8	134203282	134242587
ENSG00000104419	NDRG1	N-myc downstream regulated 1	protein_coding	8	134249414	134314265
ENSG00000104427	ZC2HC1A	zinc finger, C2HC-type containing 1A	protein_coding	8	79578282	79632000
ENSG00000104432	IL7	interleukin 7	protein_coding	8	79587978	79717758
ENSG00000104435	STMN2	stathmin-like 2	protein_coding	8	80523049	80578410
ENSG00000104442	ARMC1	armadillo repeat containing 1	protein_coding	8	66514694	66546442
ENSG00000104447	TRPS1	trichorhinophalangeal syndrome I	protein_coding	8	116420724	116821899
ENSG00000104450	SPAG1	sperm associated antigen 1	protein_coding	8	101170134	101271506
ENSG00000104472	CHRAC1	chromatin accessibility complex 1	protein_coding	8	141521397	141527236
ENSG00000104490	NCALD	neurocalcin delta	protein_coding	8	102698771	103137135
ENSG00000104497	SNX16	sorting nexin 16	protein_coding	8	82711816	82755101
ENSG00000104499	GML	glycosylphosphatidylinositol anchored molecule like	protein_coding	8	143915663	143997922
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	protein_coding	8	103265562	103425069
ENSG00000104518	GSDMD	gasdermin D	protein_coding	8	144635377	144645232
ENSG00000104522	TSTA3	tissue specific transplantation antigen P35B	protein_coding	8	144694788	144700218
ENSG00000104524	PYCRL	pyrroline-5-carboxylate reductase-like	protein_coding	8	144686083	144691943
ENSG00000104529	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	protein_coding	8	144662180	144679914
ENSG00000104537	ANXA13	annexin A13	protein_coding	8	124693034	124749647
ENSG00000104549	SQLE	squalene epoxidase	protein_coding	8	126010739	126034525
ENSG00000104611	SH2D4A	SH2 domain containing 4A	protein_coding	8	19171128	19253729
ENSG00000104613	INTS10	integrator complex subunit 10	protein_coding	8	19674651	19709594
ENSG00000104626	ERI1	exoribonuclease 1	protein_coding	8	8859657	8974256
ENSG00000104635	SLC39A14	solute carrier family 39 (zinc transporter), member 14	protein_coding	8	22224762	22291642
ENSG00000104643	MTMR9	myotubularin related protein 9	protein_coding	8	11141925	11185646
ENSG00000104660	LEPROTL1	leptin receptor overlapping transcript-like 1	protein_coding	8	29952914	29995864
ENSG00000104671	DCTN6	dynactin 6	protein_coding	8	30013813	30041156
ENSG00000104679	R3HCC1	R3H domain and coiled-coil containing 1	protein_coding	8	23127633	23153792
ENSG00000104687	GSR	glutathione reductase	protein_coding	8	30535583	30585443
ENSG00000104689	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a	protein_coding	8	23048189	23082639
ENSG00000104695	PPP2CB	protein phosphatase 2, catalytic subunit, beta isozyme	protein_coding	8	30631973	30671830
ENSG00000104714	ERICH1	glutamate-rich 1	protein_coding	8	564746	688106
ENSG00000104722	NEFM	neurofilament, medium polypeptide	protein_coding	8	24772231	24776607
ENSG00000104723	TUSC3	tumor suppressor candidate 3	protein_coding	8	15274724	15624158
ENSG00000104728	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10	protein_coding	8	1772142	1906807
ENSG00000104731	KLHDC4	kelch domain containing 4	protein_coding	16	87730091	87799598
ENSG00000104738	MCM4	minichromosome maintenance complex component 4	protein_coding	8	48872745	48890720
ENSG00000104756	KCTD9	potassium channel tetramerization domain containing 9	protein_coding	8	25285366	25315992
ENSG00000104760	FGL1	fibrinogen-like 1	protein_coding	8	17721889	17767874
ENSG00000104763	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	protein_coding	8	17913934	17942494
ENSG00000104765	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	protein_coding	8	26240470	26270645
ENSG00000104774	MAN2B1	mannosidase, alpha, class 2B, member 1	protein_coding	19	12757327	12777556
ENSG00000104783	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	protein_coding	19	44270685	44285409
ENSG00000104804	TULP2	tubby like protein 2	protein_coding	19	49384222	49401990
ENSG00000104805	NUCB1	nucleobindin 1	protein_coding	19	49403307	49426629
ENSG00000104808	DHDH	dihydrodiol dehydrogenase (dimeric)	protein_coding	19	49436939	49448226
ENSG00000104812	GYS1	glycogen synthase 1 (muscle)	protein_coding	19	49471382	49496567
ENSG00000104814	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	protein_coding	19	39078281	39109522
ENSG00000104818	CGB2	chorionic gonadotropin, beta polypeptide 2	protein_coding	19	49535169	49536495
ENSG00000104823	ECH1	enoyl CoA hydratase 1, peroxisomal	protein_coding	19	39306062	39322645
ENSG00000104824	HNRNPL	heterogeneous nuclear ribonucleoprotein L	protein_coding	19	39327028	39342987
ENSG00000104825	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	protein_coding	19	39390592	39399533
ENSG00000104826	LHB	luteinizing hormone beta polypeptide	protein_coding	19	49519253	49520338
ENSG00000104827	CGB	chorionic gonadotropin, beta polypeptide	protein_coding	19	49526126	49527590
ENSG00000104833	TUBB4A	tubulin, beta 4A class IVa	protein_coding	19	6494330	6502859
ENSG00000104835	SARS2	seryl-tRNA synthetase 2, mitochondrial	protein_coding	19	39405906	39421187
ENSG00000104848	KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	protein_coding	19	49570675	49576198
ENSG00000104852	SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)	protein_coding	19	49588676	49611862
ENSG00000104853	CLPTM1	cleft lip and palate associated transmembrane protein 1	protein_coding	19	45457848	45496599
ENSG00000104856	RELB	v-rel avian reticuloendotheliosis viral oncogene homolog B	protein_coding	19	45504688	45541452
ENSG00000104859	CLASRP	CLK4-associating serine/arginine rich protein	protein_coding	19	45542298	45574214
ENSG00000104863	LIN7B	lin-7 homolog B (C. elegans)	protein_coding	19	49617581	49621654
ENSG00000104866	PPP1R37	protein phosphatase 1, regulatory subunit 37	protein_coding	19	45595050	45650543
ENSG00000104870	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	protein_coding	19	50015536	50029590
ENSG00000104872	PIH1D1	PIH1 domain containing 1	protein_coding	19	49949555	49956754
ENSG00000104879	CKM	creatine kinase, muscle	protein_coding	19	45809672	45826235
ENSG00000104880	ARHGEF18	Rho/Rac guanine nucleotide exchange factor (GEF) 18	protein_coding	19	7459999	7537363
ENSG00000104881	PPP1R13L	protein phosphatase 1, regulatory subunit 13 like	protein_coding	19	45882892	45908339
ENSG00000104883	PEX11G	peroxisomal biogenesis factor 11 gamma	protein_coding	19	7541761	7562335
ENSG00000104884	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2	protein_coding	19	45853095	45874176
ENSG00000104885	DOT1L	DOT1-like histone H3K79 methyltransferase	protein_coding	19	2164148	2232577
ENSG00000104886	PLEKHJ1	pleckstrin homology domain containing, family J member 1	protein_coding	19	2233148	2237703
ENSG00000104888	SLC17A7	solute carrier family 17 (vesicular glutamate transporter), member 7	protein_coding	19	49932658	49945617
ENSG00000104889	RNASEH2A	ribonuclease H2, subunit A	protein_coding	19	12917394	12924451
ENSG00000104892	KLC3	kinesin light chain 3	protein_coding	19	45836692	45852860
ENSG00000104894	CD37	CD37 molecule	protein_coding	19	49838428	49843733
ENSG00000104897	SF3A2	splicing factor 3a, subunit 2, 66kDa	protein_coding	19	2237793	2248678
ENSG00000104899	AMH	anti-Mullerian hormone	protein_coding	19	2249308	2252072
ENSG00000104901	DKKL1	dickkopf-like 1	protein_coding	19	49865040	49878373
ENSG00000104903	LYL1	lymphoblastic leukemia derived sequence 1	protein_coding	19	13209847	13213975
ENSG00000104904	OAZ1	ornithine decarboxylase antizyme 1	protein_coding	19	2270290	2273487
ENSG00000104907	TRMT1	tRNA methyltransferase 1 homolog (S. cerevisiae)	protein_coding	19	13215716	13228381
ENSG00000104915	STX10	syntaxin 10	protein_coding	19	13254872	13261197
ENSG00000104918	RETN	resistin	protein_coding	19	7733930	7735334
ENSG00000104921	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23)	protein_coding	19	7753644	7767032
ENSG00000104936	DMPK	dystrophia myotonica-protein kinase	protein_coding	19	46273065	46285810
ENSG00000104938	CLEC4M	C-type lectin domain family 4, member M	protein_coding	19	7828035	7834491
ENSG00000104941	RSPH6A	radial spoke head 6 homolog A (Chlamydomonas)	protein_coding	19	46298968	46318577
ENSG00000104946	TBC1D17	TBC1 domain family, member 17	protein_coding	19	50381333	50392001
ENSG00000104951	IL4I1	interleukin 4 induced 1	protein_coding	19	50392911	50407578
ENSG00000104953	TLE6	transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)	protein_coding	19	2977444	2995177
ENSG00000104957	CCDC130	coiled-coil domain containing 130	protein_coding	19	13842574	13874110
ENSG00000104960	PTOV1	prostate tumor overexpressed 1	protein_coding	19	50354315	50364001
ENSG00000104964	AES	amino-terminal enhancer of split	protein_coding	19	3053334	3063105
ENSG00000104967	NOVA2	neuro-oncological ventral antigen 2	protein_coding	19	46436992	46476804
ENSG00000104969	SGTA	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	protein_coding	19	2754712	2783369
ENSG00000104970	KIR3DX1	killer cell immunoglobulin-like receptor, three domains, X1	protein_coding	19	55043909	55057053
ENSG00000104972	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	protein_coding	19	55128612	55148979
ENSG00000104973	MED25	mediator complex subunit 25	protein_coding	19	50321546	50341895
ENSG00000104974	LILRA1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1	protein_coding	19	55105047	55113555
ENSG00000104976	SNAPC2	small nuclear RNA activating complex, polypeptide 2, 45kDa	protein_coding	19	7985201	7988135
ENSG00000104979	C19orf53	chromosome 19 open reading frame 53	protein_coding	19	13885097	13889276
ENSG00000104980	TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)	protein_coding	19	7991649	8008805
ENSG00000104983	CCDC61	coiled-coil domain containing 61	protein_coding	19	46498339	46524576
ENSG00000104998	IL27RA	interleukin 27 receptor, alpha	protein_coding	19	14142560	14163743
ENSG00000105011	ASF1B	anti-silencing function 1B histone chaperone	protein_coding	19	14230350	14247768
ENSG00000105048	TNNT1	troponin T type 1 (skeletal, slow)	protein_coding	19	55644162	55660722
ENSG00000105053	VRK3	vaccinia related kinase 3	protein_coding	19	50479724	50529062
ENSG00000105058	FAM32A	family with sequence similarity 32, member A	protein_coding	19	16296191	16302857
ENSG00000105063	PPP6R1	protein phosphatase 6, regulatory subunit 1	protein_coding	19	55741648	55770363
ENSG00000105072	C19orf44	chromosome 19 open reading frame 44	protein_coding	19	16607122	16632163
ENSG00000105085	MED26	mediator complex subunit 26	protein_coding	19	16685730	16739873
ENSG00000105088	OLFM2	olfactomedin 2	protein_coding	19	9964394	10047228
ENSG00000105122	RASAL3	RAS protein activator like 3	protein_coding	19	15562435	15575382
ENSG00000105127	AKAP8	A kinase (PRKA) anchor protein 8	protein_coding	19	15464196	15490609
ENSG00000105131	EPHX3	epoxide hydrolase 3	protein_coding	19	15337730	15344246
ENSG00000105135	ILVBL	ilvB (bacterial acetolactate synthase)-like	protein_coding	19	15225800	15236596
ENSG00000105136	ZNF419	zinc finger protein 419	protein_coding	19	57999079	58006048
ENSG00000105137	SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	protein_coding	19	15218214	15225797
ENSG00000105141	CASP14	caspase 14, apoptosis-related cysteine peptidase	protein_coding	19	15160195	15169104
ENSG00000105143	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	protein_coding	19	15060846	15121455
ENSG00000105146	AURKC	aurora kinase C	protein_coding	19	57742377	57746916
ENSG00000105171	POP4	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	protein_coding	19	30094924	30108144
ENSG00000105173	CCNE1	cyclin E1	protein_coding	19	30302805	30315215
ENSG00000105176	URI1	URI1, prefoldin-like chaperone	protein_coding	19	30414551	30506611
ENSG00000105185	PDCD5	programmed cell death 5	protein_coding	19	33071974	33078358
ENSG00000105186	ANKRD27	ankyrin repeat domain 27 (VPS9 domain)	protein_coding	19	33087913	33166105
ENSG00000105193	RPS16	ribosomal protein S16	protein_coding	19	39923847	39926588
ENSG00000105197	TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	protein_coding	19	39971052	39984355
ENSG00000105202	FBL	fibrillarin	protein_coding	19	40325098	40337054
ENSG00000105204	DYRK1B	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	protein_coding	19	40315990	40324841
ENSG00000105205	CLC	Charcot-Leyden crystal galectin	protein_coding	19	40221890	40228668
ENSG00000105219	CNTD2	cyclin N-terminal domain containing 2	protein_coding	19	40728115	40732597
ENSG00000105220	GPI	glucose-6-phosphate isomerase	protein_coding	19	34850385	34893061
ENSG00000105221	AKT2	v-akt murine thymoma viral oncogene homolog 2	protein_coding	19	40736224	40791443
ENSG00000105223	PLD3	phospholipase D family, member 3	protein_coding	19	40854435	40884390
ENSG00000105227	PRX	periaxin	protein_coding	19	40899675	40919273
ENSG00000105229	PIAS4	protein inhibitor of activated STAT, 4	protein_coding	19	4007644	4039384
ENSG00000105245	NUMBL	numb homolog (Drosophila)-like	protein_coding	19	41172596	41196877
ENSG00000105246	EBI3	Epstein-Barr virus induced 3	protein_coding	19	4229495	4237528
ENSG00000105248	CCDC94	coiled-coil domain containing 94	protein_coding	19	4247076	4269087
ENSG00000105251	SHD	Src homology 2 domain containing transforming protein D	protein_coding	19	4278598	4290721
ENSG00000105254	TBCB	tubulin folding cofactor B	protein_coding	19	36605191	36616849
ENSG00000105255	FSD1	fibronectin type III and SPRY domain containing 1	protein_coding	19	4304597	4323833
ENSG00000105258	POLR2I	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa	protein_coding	19	36604614	36605887
ENSG00000105270	CLIP3	CAP-GLY domain containing linker protein 3	protein_coding	19	36505562	36524245
ENSG00000105278	ZFR2	zinc finger RNA binding protein 2	protein_coding	19	3804022	3869030
ENSG00000105281	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	protein_coding	19	47278140	47291851
ENSG00000105287	PRKD2	protein kinase D2	protein_coding	19	47177532	47220384
ENSG00000105289	TJP3	tight junction protein 3	protein_coding	19	3708107	3750811
ENSG00000105290	APLP1	amyloid beta (A4) precursor-like protein 1	protein_coding	19	36359033	36370693
ENSG00000105298	CACTIN	cactin, spliceosome C complex subunit	protein_coding	19	3610639	3626813
ENSG00000105321	CCDC9	coiled-coil domain containing 9	protein_coding	19	47759237	47775210
ENSG00000105323	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U-like 1	protein_coding	19	41768401	41813503
ENSG00000105325	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	protein_coding	19	3506271	3538258
ENSG00000105327	BBC3	BCL2 binding component 3	protein_coding	19	47724081	47736023
ENSG00000105329	TGFB1	transforming growth factor, beta 1	protein_coding	19	41807610	41859816
ENSG00000105339	DENND3	DENN/MADD domain containing 3	protein_coding	8	142127377	142205907
ENSG00000105341	ATP5SL	ATP5S-like	protein_coding	19	41937223	41946622
ENSG00000105352	CEACAM4	carcinoembryonic antigen-related cell adhesion molecule 4	protein_coding	19	42125344	42133442
ENSG00000105355	PLIN3	perilipin 3	protein_coding	19	4838423	4867780
ENSG00000105357	MYH14	myosin, heavy chain 14, non-muscle	protein_coding	19	50691443	50813802
ENSG00000105364	MRPL4	mitochondrial ribosomal protein L4	protein_coding	19	10362577	10370499
ENSG00000105366	SIGLEC8	sialic acid binding Ig-like lectin 8	protein_coding	19	51954101	51961710
ENSG00000105369	CD79A	CD79a molecule, immunoglobulin-associated alpha	protein_coding	19	42381190	42385439
ENSG00000105370	LIM2	lens intrinsic membrane protein 2, 19kDa	protein_coding	19	51883163	51891214
ENSG00000105372	RPS19	ribosomal protein S19	protein_coding	19	42363988	42376994
ENSG00000105373	GLTSCR2	glioma tumor suppressor candidate region gene 2	protein_coding	19	48248779	48260292
ENSG00000105374	NKG7	natural killer cell group 7 sequence	protein_coding	19	51874860	51875969
ENSG00000105376	ICAM5	intercellular adhesion molecule 5, telencephalin	protein_coding	19	10400657	10407454
ENSG00000105379	ETFB	electron-transfer-flavoprotein, beta polypeptide	protein_coding	19	51848501	51869672
ENSG00000105383	CD33	CD33 molecule	protein_coding	19	51728320	51743271
ENSG00000105388	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	protein_coding	19	42212504	42233718
ENSG00000105392	CRX	cone-rod homeobox	protein_coding	19	48322703	48346587
ENSG00000105393	BABAM1	BRISC and BRCA1 A complex member 1	protein_coding	19	17378159	17392058
ENSG00000105397	TYK2	tyrosine kinase 2	protein_coding	19	10461209	10491352
ENSG00000105398	SULT2A1	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	protein_coding	19	48373723	48389654
ENSG00000105401	CDC37	cell division cycle 37	protein_coding	19	10501810	10530797
ENSG00000105402	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	protein_coding	19	47990894	48018497
ENSG00000105404	RABAC1	Rab acceptor 1 (prenylated)	protein_coding	19	42460833	42463542
ENSG00000105409	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein_coding	19	42470734	42501649
ENSG00000105419	MEIS3	Meis homeobox 3	protein_coding	19	47906381	47922780
ENSG00000105426	PTPRS	protein tyrosine phosphatase, receptor type, S	protein_coding	19	5158506	5340814
ENSG00000105427	CNFN	cornifelin	protein_coding	19	42891171	42894439
ENSG00000105429	MEGF8	multiple EGF-like-domains 8	protein_coding	19	42829761	42882921
ENSG00000105438	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	protein_coding	19	48885827	48894810
ENSG00000105443	CYTH2	cytohesin 2	protein_coding	19	48972951	48983103
ENSG00000105447	GRWD1	glutamate-rich WD repeat containing 1	protein_coding	19	48949030	48960279
ENSG00000105464	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D	protein_coding	19	48898132	48948188
ENSG00000105467	SYNGR4	synaptogyrin 4	protein_coding	19	48867652	48879633
ENSG00000105472	CLEC11A	C-type lectin domain family 11, member A	protein_coding	19	51226586	51228974
ENSG00000105479	CCDC114	coiled-coil domain containing 114	protein_coding	19	48799714	48824068
ENSG00000105483	CARD8	caspase recruitment domain family, member 8	protein_coding	19	48684027	48759203
ENSG00000105486	LIG1	ligase I, DNA, ATP-dependent	protein_coding	19	48618702	48673860
