ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	n	p.HMP	p.EBM	P	log10maxP
ENSG00000110344	UBE4A	ubiquitination factor E4A	protein_coding	11	118230300	118269926	3	0.737970261463925	0.926462353448208	0.926462353448208	0.0331722234275273
ENSG00000110367	DDX6	DEAD (Asp-Glu-Ala-Asp) box helicase 6	protein_coding	11	118620034	118661845	3	0.56380947785612	0.534734383301812	0.56380947785612	0.248867627744275
ENSG00000110375	UPK2	uroplakin 2	protein_coding	11	118795873	118829269	2	0.154091081473759	0.126477786429502	0.154091081473759	0.812222496770354
ENSG00000110395	CBL	Cbl proto-oncogene, E3 ubiquitin protein ligase	protein_coding	11	119076752	119178859	20	0.785241289341686	0.574452750409214	0.785241289341686	0.104996872518533
ENSG00000110400	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C)	protein_coding	11	119494120	119599794	3	0.517791722649351	0.515429659701581	0.517791722649351	0.285844896420352
ENSG00000110422	HIPK3	homeodomain interacting protein kinase 3	protein_coding	11	33278218	33378569	3	0.681091101875217	0.807466908211611	0.807466908211611	0.092875266985193
ENSG00000110427	KIAA1549L	KIAA1549-like	protein_coding	11	33563618	33695648	11	0.91159212479707	0.968623704341278	0.968623704341278	0.0138449070232739
ENSG00000110429	FBXO3	F-box protein 3	protein_coding	11	33762485	33796089	7	0.405387827503527	0.47013096887176	0.47013096887176	0.327781139649603
ENSG00000110435	PDHX	pyruvate dehydrogenase complex, component X	protein_coding	11	34937376	35042138	27	0.00111428483110534	0.00325455122188601	0.00325455122188601	2.48750888890704
ENSG00000110436	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	protein_coding	11	35272753	35441610	7	0.150739080834998	0.0759679542460728	0.150739080834998	0.82177413726315
ENSG00000110442	COMMD9	COMM domain containing 9	protein_coding	11	36295051	36310999	5	0.789399084115386	0.840335158698084	0.840335158698084	0.0755474656735485
ENSG00000110446	SLC15A3	solute carrier family 15 (oligopeptide transporter), member 3	protein_coding	11	60704632	60720002	8	0.260602316458988	0.258217211421464	0.260602316458988	0.58402172822096
ENSG00000110448	CD5	CD5 molecule	protein_coding	11	60869867	60895324	23	0.310973578156585	0.566590754289852	0.566590754289852	0.246730516638137
ENSG00000110455	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	protein_coding	11	44087475	44105764	50	0.0496559648839909	0.0452786370254075	0.0496559648839909	1.30402857474958
ENSG00000110484	SCGB2A2	secretoglobin, family 2A, member 2	protein_coding	11	62037627	62040628	5	0.191701154880865	0.148184321891654	0.191701154880865	0.717375270758473
ENSG00000110492	MDK	midkine (neurite growth-promoting factor 2)	protein_coding	11	46402306	46405375	11	0.93571806431604	0.857077517570272	0.93571806431604	0.0288549862578868
ENSG00000110514	MADD	MAP-kinase activating death domain	protein_coding	11	47290712	47351582	26	0.670992949021644	0.473117045908492	0.670992949021644	0.173282043492828
ENSG00000110536	PTPMT1	protein tyrosine phosphatase, mitochondrial 1	protein_coding	11	47587349	47593748	8	0.635311530501373	0.580676083486296	0.635311530501373	0.197013262423786
ENSG00000110583	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit	protein_coding	11	63706466	63724800	9	0.560404178493122	0.31730318993965	0.560404178493122	0.251498635181873
ENSG00000110619	CARS	cysteinyl-tRNA synthetase	protein_coding	11	3022152	3078843	9	0.636187712904017	0.792127711474859	0.792127711474859	0.101204793262249
ENSG00000110628	SLC22A18	solute carrier family 22, member 18	protein_coding	11	2921021	2946476	37	0.994006926917253	0.748707548587473	0.994006926917253	0.00261058913240747
ENSG00000110651	CD81	CD81 molecule	protein_coding	11	2397407	2418649	9	0.202085165656195	0.0339681100731547	0.202085165656195	0.694465565307609
ENSG00000110660	SLC35F2	solute carrier family 35, member F2	protein_coding	11	107661717	107799019	29	0.874874491708732	0.472301978718898	0.874874491708732	0.0580542457981822
ENSG00000110665	C11orf21	chromosome 11 open reading frame 21	protein_coding	11	2316875	2324279	32	0.0551198580868351	0.0184686166444196	0.0551198580868351	1.258691909246
ENSG00000110675	ELMOD1	ELMO/CED-12 domain containing 1	protein_coding	11	107461817	107537505	14	0.742434760595101	0.584011636581144	0.742434760595101	0.129341702762751
ENSG00000110680	CALCA	calcitonin-related polypeptide alpha	protein_coding	11	14988214	14993900	3	0.025840373540802	0.00557356314647194	0.025840373540802	1.58770121259891
ENSG00000110693	SOX6	SRY (sex determining region Y)-box 6	protein_coding	11	15987995	16761138	5	0.449428455210337	0.351271139223717	0.449428455210337	0.347339434031697
ENSG00000110696	C11orf58	chromosome 11 open reading frame 58	protein_coding	11	16634679	16778428	4	0.803203968625141	0.954080459778726	0.954080459778726	0.0204149987084279
ENSG00000110697	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1	protein_coding	11	67259239	67273734	3	0.260008201722269	0.1825124832138	0.260008201722269	0.58501295238863
ENSG00000110700	RPS13	ribosomal protein S13	protein_coding	11	17095936	17099276	12	0.91396077076808	0.942331628893079	0.942331628893079	0.0257962317586183
ENSG00000110711	AIP	aryl hydrocarbon receptor interacting protein	protein_coding	11	67250512	67258574	10	0.0926293299231164	0.0646906783338573	0.0926293299231164	1.03325147760624
ENSG00000110713	NUP98	nucleoporin 98kDa	protein_coding	11	3692313	3819022	4	0.710097840454986	0.793836091711948	0.793836091711948	0.10026915980651
ENSG00000110717	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	protein_coding	11	67798094	67804111	14	0.940604806539885	0.964097010560738	0.964097010560738	0.0158792637823794
ENSG00000110719	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	protein_coding	11	67806483	67818131	12	0.872827425023072	0.92193667220926	0.92193667220926	0.0352989095913107
ENSG00000110721	CHKA	choline kinase alpha	protein_coding	11	67820553	67888911	6	0.519628509405481	0.411278835270799	0.519628509405481	0.284307029389191
ENSG00000110723	EXPH5	exophilin 5	protein_coding	11	108376158	108464465	11	0.882170472891263	0.778547626893112	0.882170472891263	0.0544474825755161
ENSG00000110756	HPS5	Hermansky-Pudlak syndrome 5	protein_coding	11	18300223	18343745	15	0.927897813698077	0.749752520750808	0.927897813698077	0.032499848555507
ENSG00000110768	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	protein_coding	11	18343842	18388591	43	0.999745372777101	0.846675172047021	0.999745372777101	0.00011059727898403
ENSG00000110777	POU2AF1	POU class 2 associating factor 1	protein_coding	11	111222977	111326355	6	0.710336128568639	0.684323576771872	0.710336128568639	0.148536096015014
ENSG00000110786	PTPN5	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)	protein_coding	11	18749475	18814268	28	0.9961225480901	0.859955361045053	0.9961225480901	0.00168722916129609
ENSG00000110799	VWF	von Willebrand factor	protein_coding	12	6058040	6233936	3	0.645630389852196	0.717139494416045	0.717139494416045	0.144396359307456
ENSG00000110801	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	protein_coding	12	122326637	122355767	9	0.126123111581911	0.164049313557073	0.164049313557073	0.78502558252267
ENSG00000110841	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	protein_coding	12	27676364	27848497	8	0.452551870031142	0.451728297903416	0.452551870031142	0.344331636177511
ENSG00000110844	PRPF40B	PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae)	protein_coding	12	49962001	50031607	3	0.478470770343877	0.55115428906174	0.55115428906174	0.258726808574046
ENSG00000110848	CD69	CD69 molecule	protein_coding	12	9905082	9913497	3	0.543273286020205	0.623875682495254	0.623875682495254	0.204901942024622
ENSG00000110851	PRDM4	PR domain containing 4	protein_coding	12	108126643	108155049	16	0.892273466584819	0.690902477684596	0.892273466584819	0.0495020213781535
ENSG00000110852	CLEC2B	C-type lectin domain family 2, member B	protein_coding	12	10005583	10022735	10	0.70731826705276	0.644128793583897	0.70731826705276	0.150385125774796
ENSG00000110871	COQ5	coenzyme Q5 homolog, methyltransferase (S. cerevisiae)	protein_coding	12	120941077	120972153	43	0.997589235378005	0.727242115403308	0.997589235378005	0.00104824581776089
ENSG00000110876	SELPLG	selectin P ligand	protein_coding	12	109015686	109027735	4	0.594338718157457	0.546805377602599	0.594338718157457	0.225965976734198
ENSG00000110880	CORO1C	coronin, actin binding protein, 1C	protein_coding	12	109038885	109125372	13	0.754814975035105	0.539947103409944	0.754814975035105	0.122159492303345
ENSG00000110881	ASIC1	acid-sensing (proton-gated) ion channel 1	protein_coding	12	50451331	50477394	12	0.0338488688645102	0.0470835763275511	0.0470835763275511	1.32713055686658
ENSG00000110888	CAPRIN2	caprin family member 2	protein_coding	12	30862486	30907885	33	0.930711953991598	0.605399735829585	0.930711953991598	0.0311847080069359
ENSG00000110900	TSPAN11	tetraspanin 11	protein_coding	12	31079362	31149534	19	0.207939009012127	0.144114757039959	0.207939009012127	0.682064030103246
ENSG00000110906	KCTD10	potassium channel tetramerization domain containing 10	protein_coding	12	109886461	109915206	24	0.952501858891713	0.816706219661037	0.952501858891713	0.0211341680873818
ENSG00000110911	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2	protein_coding	12	51373184	51422349	10	0.19564855518832	0.0547180465339124	0.19564855518832	0.708523354898782
ENSG00000110917	MLEC	malectin	protein_coding	12	121124672	121139667	9	0.0899956150142179	0.142681025297223	0.142681025297223	0.845633778508576
ENSG00000110921	MVK	mevalonate kinase	protein_coding	12	110011060	110035067	7	0.620864544760751	0.558762107919384	0.620864544760751	0.207003140370498
ENSG00000110925	CSRNP2	cysteine-serine-rich nuclear protein 2	protein_coding	12	51454990	51477447	12	0.0520570763119224	0.0342663174476735	0.0520570763119224	1.28352022687708
ENSG00000110931	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	protein_coding	12	121675497	121736111	14	0.73314539066654	0.588609719999952	0.73314539066654	0.134809891521386
ENSG00000110934	BIN2	bridging integrator 2	protein_coding	12	51674822	51718452	4	0.67430218523793	0.695716160643749	0.695716160643749	0.157567908390391
ENSG00000110944	IL23A	interleukin 23, alpha subunit p19	protein_coding	12	56732663	56734193	10	0.549081270526671	0.485065051282994	0.549081270526671	0.260363370068885
ENSG00000110955	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	protein_coding	12	57031959	57039798	3	0.306733285578249	0.348596111749819	0.348596111749819	0.457677461331061
ENSG00000110958	PTGES3	prostaglandin E synthase 3 (cytosolic)	protein_coding	12	57057127	57082159	2	0.56277339653869	0.606410092214029	0.606410092214029	0.217233579545543
ENSG00000110975	SYT10	synaptotagmin X	protein_coding	12	33527173	33592754	4	0.483911642289976	0.458393616028824	0.483911642289976	0.315233929200592
ENSG00000110987	BCL7A	B-cell CLL/lymphoma 7A	protein_coding	12	122457328	122499948	12	0.113465027877185	0.0664943344527969	0.113465027877185	0.945137975830925
ENSG00000111011	RSRC2	arginine/serine-rich coiled-coil 2	protein_coding	12	122989190	123011547	3	0.678702708173619	0.823527332044707	0.823527332044707	0.0843219824575372
ENSG00000111012	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	protein_coding	12	58156122	58161034	11	0.0701609927443972	0.273058806440112	0.273058806440112	0.563743812438558
ENSG00000111052	LIN7A	lin-7 homolog A (C. elegans)	protein_coding	12	81186299	81331704	8	0.177533741462696	0.0609282698610668	0.177533741462696	0.750719094223238
ENSG00000111057	KRT18	keratin 18	protein_coding	12	53342655	53346620	7	0.869105128723971	0.967354375434056	0.967354375434056	0.0144143996480903
ENSG00000111058	ACSS3	acyl-CoA synthetase short-chain family member 3	protein_coding	12	81416162	81650533	12	0.668309632156262	0.520175163051511	0.668309632156262	0.175022279468604
ENSG00000111077	TENC1	tensin like C1 domain containing phosphatase (tensin 2)	protein_coding	12	53440835	53458156	36	0.99942556469769	0.883719872119148	0.99942556469769	0.000249545762815512
ENSG00000111087	GLI1	GLI family zinc finger 1	protein_coding	12	57853918	57866037	3	0.309330916430038	0.315470930859908	0.315470930859908	0.501040652739227
ENSG00000111110	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent, 1H	protein_coding	12	63037762	63328817	13	0.741969409752587	0.644202002497797	0.741969409752587	0.129613999639452
ENSG00000111142	METAP2	methionyl aminopeptidase 2	protein_coding	12	95867296	95909615	9	0.110938796929704	0.170812769472848	0.170812769472848	0.76747966582325
ENSG00000111144	LTA4H	leukotriene A4 hydrolase	protein_coding	12	96394606	96437298	16	0.818601625768972	0.771942773754325	0.818601625768972	0.0869273971671819
ENSG00000111145	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	protein_coding	12	96588160	96663613	5	0.44646451685756	0.313099624151537	0.44646451685756	0.350213051322608
ENSG00000111181	SLC6A12	solute carrier family 6 (neurotransmitter transporter), member 12	protein_coding	12	299243	323689	10	0.0038801717334695	4.02664758118811e-05	0.0038801717334695	2.41114905243475
ENSG00000111186	WNT5B	wingless-type MMTV integration site family, member 5B	protein_coding	12	1639057	1756409	11	0.612182841684413	0.757013414418807	0.757013414418807	0.120896424652571
ENSG00000111196	MAGOHB	mago-nashi homolog B (Drosophila)	protein_coding	12	10758612	10766222	10	0.773251484731181	0.556538787997615	0.773251484731181	0.111679237428967
ENSG00000111199	TRPV4	transient receptor potential cation channel, subfamily V, member 4	protein_coding	12	110220890	110270540	14	0.0671865337794502	0.0154925636346408	0.0671865337794502	1.17271776401949
ENSG00000111203	ITFG2	integrin alpha FG-GAP repeat containing 2	protein_coding	12	2926389	2968957	5	0.787510009388165	0.867413957303	0.867413957303	0.0617735940261924
ENSG00000111206	FOXM1	forkhead box M1	protein_coding	12	2967498	2986206	3	0.490693975898249	0.618438347085897	0.618438347085897	0.208703589252301
ENSG00000111215	PRR4	proline rich 4 (lacrimal)	protein_coding	12	10977559	11324212	37	0.544013084530495	0.211341413518259	0.544013084530495	0.264390654582971
ENSG00000111218	PRMT8	protein arginine methyltransferase 8	protein_coding	12	3490515	3703139	3	0.218501364708148	0.239637212915251	0.239637212915251	0.620445740085536
ENSG00000111224	PARP11	poly (ADP-ribose) polymerase family, member 11	protein_coding	12	3900213	3982608	20	0.0180180560614337	0.132063769368465	0.132063769368465	0.879216311238667
ENSG00000111229	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa	protein_coding	12	110872630	110888212	11	0.774752488590294	0.501960792195653	0.774752488590294	0.110837020084747
ENSG00000111231	GPN3	GPN-loop GTPase 3	protein_coding	12	110890289	110907073	7	0.859636456650517	0.918633361739822	0.918633361739822	0.0368577864856818
ENSG00000111237	VPS29	vacuolar protein sorting 29 homolog (S. cerevisiae)	protein_coding	12	110928902	110939922	31	0.981891601018159	0.722376875149026	0.981891601018159	0.00793645485884696
ENSG00000111247	RAD51AP1	RAD51 associated protein 1	protein_coding	12	4647950	4669214	3	0.654220780644165	0.748341301650959	0.748341301650959	0.125900284999986
ENSG00000111249	CUX2	cut-like homeobox 2	protein_coding	12	111471828	111788358	5	0.00116879796767868	0.00581797366449913	0.00581797366449913	2.23522824895156
ENSG00000111252	SH2B3	SH2B adaptor protein 3	protein_coding	12	111843752	111889427	4	0.478528191284967	0.449648545565123	0.478528191284967	0.32009247176624
ENSG00000111254	AKAP3	A kinase (PRKA) anchor protein 3	protein_coding	12	4724674	4758213	50	0.988657630118655	0.531185500267052	0.988657630118655	0.00495407755616538
ENSG00000111261	MANSC1	MANSC domain containing 1	protein_coding	12	12482198	12503475	5	0.688900817514087	0.639146137681928	0.688900817514087	0.16184329987313
ENSG00000111262	KCNA1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	protein_coding	12	5019071	5040527	3	0.271151333359282	0.184222788369746	0.271151333359282	0.566788255624046
ENSG00000111266	DUSP16	dual specificity phosphatase 16	protein_coding	12	12628829	12715317	4	0.106095430262674	0.228384710766195	0.228384710766195	0.641332973333929
ENSG00000111269	CREBL2	cAMP responsive element binding protein-like 2	protein_coding	12	12764761	12798042	5	0.46493111004911	0.527576132680197	0.527576132680197	0.277714859978873
ENSG00000111271	ACAD10	acyl-CoA dehydrogenase family, member 10	protein_coding	12	112123857	112194903	4	0.675707373414459	0.728879991371417	0.728879991371417	0.137343971511367
ENSG00000111275	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	protein_coding	12	112204691	112247782	19	0.750441218206667	0.423916559159279	0.750441218206667	0.124683320220549
ENSG00000111276	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	protein_coding	12	12867992	12875305	4	0.806642863394932	0.985986800551958	0.985986800551958	0.00612889893892967
ENSG00000111291	GPRC5D	G protein-coupled receptor, family C, group 5, member D	protein_coding	12	13093709	13105081	4	0.627122160697257	0.650071505780349	0.650071505780349	0.187038869729735
ENSG00000111300	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	protein_coding	12	112464500	112546826	13	0.760604082717701	0.617281616520999	0.760604082717701	0.118841347742462
ENSG00000111305	GSG1	germ cell associated 1	protein_coding	12	13236494	13256619	2	0.0485150589256658	0.0441576123792915	0.0485150589256658	1.31412343679535
ENSG00000111319	SCNN1A	sodium channel, non-voltage-gated 1 alpha subunit	protein_coding	12	6456009	6486896	7	0.495062922855281	0.44393229391212	0.495062922855281	0.30533959841569
ENSG00000111321	LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	protein_coding	12	6484391	6500729	46	0.110106464171253	0.0337602860925536	0.110106464171253	0.958187183557803
ENSG00000111325	OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	protein_coding	12	123459230	123463444	9	0.721875216501036	0.788431223177166	0.788431223177166	0.103236185274067
ENSG00000111328	CDK2AP1	cyclin-dependent kinase 2 associated protein 1	protein_coding	12	123746031	123756881	29	0.98334151173332	0.642492497841022	0.98334151173332	0.00729562672195903
ENSG00000111331	OAS3	2'-5'-oligoadenylate synthetase 3, 100kDa	protein_coding	12	113376157	113411054	5	0.382481082525262	0.297048137966757	0.382481082525262	0.417390040139284
ENSG00000111335	OAS2	2'-5'-oligoadenylate synthetase 2, 69/71kDa	protein_coding	12	113416200	113449528	2	0.489168516963261	0.464787510529525	0.489168516963261	0.310541502063218
ENSG00000111339	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	protein_coding	12	14978503	14996429	2	0.118528127300953	0.098871419787273	0.118528127300953	0.926178577231282
ENSG00000111341	MGP	matrix Gla protein	protein_coding	12	15034115	15038860	11	0.749672117808909	0.867876810448368	0.867876810448368	0.0615419157674619
ENSG00000111344	RASAL1	RAS protein activator like 1 (GAP1 like)	protein_coding	12	113536624	113574044	8	0.819918920176372	0.881847743127832	0.881847743127832	0.0546063922236082
ENSG00000111348	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	protein_coding	12	15094951	15114662	12	0.781161730932252	0.559398570135815	0.781161730932252	0.107259040924444
ENSG00000111358	GTF2H3	general transcription factor IIH, polypeptide 3, 34kDa	protein_coding	12	124118375	124147153	4	0.721723363644148	0.804262244582349	0.804262244582349	0.0946023184097454
ENSG00000111361	EIF2B1	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	protein_coding	12	124105489	124118313	8	0.655864687416016	0.476443483898191	0.655864687416016	0.18318575143249
ENSG00000111364	DDX55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55	protein_coding	12	124086646	124104952	44	0.997585125764184	0.708450628277404	0.997585125764184	0.00105003491713986
ENSG00000111371	SLC38A1	solute carrier family 38, member 1	protein_coding	12	46576846	46663800	3	0.0670187857226993	0.144865504742642	0.144865504742642	0.839035016070748
ENSG00000111405	ENDOU	endonuclease, polyU-specific	protein_coding	12	48103517	48119350	10	0.898561025912483	0.898726914475822	0.898726914475822	0.0463722521523474
ENSG00000111412	C12orf49	chromosome 12 open reading frame 49	protein_coding	12	117153593	117175875	2	0.397561639371775	0.345648715755014	0.397561639371775	0.400595527224637
ENSG00000111424	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	protein_coding	12	48235320	48336831	5	0.388634629903291	0.267035901781094	0.388634629903291	0.410458503515378
ENSG00000111432	FZD10	frizzled family receptor 10	protein_coding	12	130647004	130650285	6	0.338511108699604	0.112784327329605	0.338511108699604	0.470427074784515
ENSG00000111445	RFC5	replication factor C (activator 1) 5, 36.5kDa	protein_coding	12	118451393	118470423	7	0.339463843773318	0.199058337796884	0.339463843773318	0.469206475539406
ENSG00000111450	STX2	syntaxin 2	protein_coding	12	131274145	131323811	36	0.908722064519774	0.420238422024983	0.908722064519774	0.0415689267919329
ENSG00000111452	GPR133	G protein-coupled receptor 133	protein_coding	12	131438452	131626014	9	0.0413618401640309	0.173128800114857	0.173128800114857	0.761630680879272
ENSG00000111481	COPZ1	coatomer protein complex, subunit zeta 1	protein_coding	12	54694986	54745633	4	0.64453221560513	0.720938185361266	0.720938185361266	0.142101970935736
ENSG00000111490	TBC1D30	TBC1 domain family, member 30	protein_coding	12	65174589	65274812	3	0.655267578143394	0.62376968186686	0.655267578143394	0.183581319884175
ENSG00000111530	CAND1	cullin-associated and neddylation-dissociated 1	protein_coding	12	67663061	67713731	22	0.982659007990569	0.784488104827201	0.982659007990569	0.00759716033630813
ENSG00000111536	IL26	interleukin 26	protein_coding	12	68595131	68619601	5	0.377512027478784	0.356913120992279	0.377512027478784	0.423069207254775
ENSG00000111540	RAB5B	RAB5B, member RAS oncogene family	protein_coding	12	56367697	56388490	3	0.767771175906689	0.978329721159822	0.978329721159822	0.00951475262828099
ENSG00000111554	MDM1	Mdm1 nuclear protein homolog (mouse)	protein_coding	12	68666223	68726161	23	0.956995606203792	0.733455751491073	0.956995606203792	0.0190900561686405
ENSG00000111581	NUP107	nucleoporin 107kDa	protein_coding	12	69080514	69136785	42	0.831159588449465	0.33454149141292	0.831159588449465	0.0803155806338128
ENSG00000111596	CNOT2	CCR4-NOT transcription complex, subunit 2	protein_coding	12	70636774	70748773	5	0.598116528510167	0.519227272875429	0.598116528510167	0.223214196013614
ENSG00000111605	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa	protein_coding	12	69633317	69668138	2	0.366338198967495	0.424661386541721	0.424661386541721	0.371957226587011
ENSG00000111615	KRR1	KRR1, small subunit (SSU) processome component, homolog (yeast)	protein_coding	12	75890684	75905401	38	0.992522005663953	0.71403529778351	0.992522005663953	0.00325985551449068
ENSG00000111639	MRPL51	mitochondrial ribosomal protein L51	protein_coding	12	6601150	6602521	17	0.365463614741873	0.322396857883727	0.365463614741873	0.437155854556775
ENSG00000111640	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	protein_coding	12	6643093	6647537	3	0.718365396862763	0.714386992494911	0.718365396862763	0.143654595485373
ENSG00000111641	NOP2	NOP2 nucleolar protein	protein_coding	12	6666029	6677857	2	0.654489622793064	0.831827398493299	0.831827398493299	0.079966779067879
ENSG00000111642	CHD4	chromodomain helicase DNA binding protein 4	protein_coding	12	6679249	6716642	4	0.573512838584754	0.509049721686074	0.573512838584754	0.241456855593394
ENSG00000111644	ACRBP	acrosin binding protein	protein_coding	12	6747241	6756626	3	0.490854255555297	0.420412771623522	0.490854255555297	0.309047439453606
ENSG00000111647	UHRF1BP1L	UHRF1 binding protein 1-like	protein_coding	12	100422233	100536626	7	0.827277368291313	0.902219757595026	0.902219757595026	0.0446876665748834
ENSG00000111652	COPS7A	COP9 signalosome subunit 7A	protein_coding	12	6832907	6841041	9	0.51168033114785	0.355661724585804	0.51168033114785	0.291001276868276
ENSG00000111653	ING4	inhibitor of growth family, member 4	protein_coding	12	6759446	6772314	4	0.540609703012815	0.472630127296807	0.540609703012815	0.267116163729586
ENSG00000111664	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	protein_coding	12	6949375	6956557	43	0.998737878404679	0.74704618182793	0.998737878404679	0.00054847864056154
ENSG00000111665	CDCA3	cell division cycle associated 3	protein_coding	12	6953957	6961230	36	0.934873735061291	0.545579780601918	0.934873735061291	0.0292470413938832
ENSG00000111666	CHPT1	choline phosphotransferase 1	protein_coding	12	102090725	102137918	45	0.999400447323713	0.8083180067578	0.999400447323713	0.000260460506623174
ENSG00000111667	USP5	ubiquitin specific peptidase 5 (isopeptidase T)	protein_coding	12	6961292	6975793	2	0.42565241460905	0.340435743956207	0.42565241460905	0.370944898631502
ENSG00000111669	TPI1	triosephosphate isomerase 1	protein_coding	12	6976283	6980098	6	0.609515367601773	0.507512881867213	0.609515367601773	0.215015340118588
ENSG00000111670	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	protein_coding	12	102139275	102224716	27	0.835227013031433	0.483960676645296	0.835227013031433	0.0781954681004624
ENSG00000111671	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2	protein_coding	12	6980113	6998522	50	0.817475697858188	0.362164202892252	0.817475697858188	0.0875251493012741
ENSG00000111674	ENO2	enolase 2 (gamma, neuronal)	protein_coding	12	7022909	7032861	6	0.567256529023306	0.53517002733199	0.567256529023306	0.24622049676083
ENSG00000111676	ATN1	atrophin 1	protein_coding	12	7033626	7051484	29	0.426676489985632	0.195352547927395	0.426676489985632	0.369901286249661
ENSG00000111678	C12orf57	chromosome 12 open reading frame 57	protein_coding	12	7052596	7055166	19	0.535997210479986	0.260255274635237	0.535997210479986	0.270837470524211
ENSG00000111679	PTPN6	protein tyrosine phosphatase, non-receptor type 6	protein_coding	12	7055631	7070479	7	0.217984112946384	0.126947962546822	0.217984112946384	0.661575157363939
ENSG00000111684	LPCAT3	lysophosphatidylcholine acyltransferase 3	protein_coding	12	7085782	7125814	5	0.704632615830541	0.618678537247288	0.704632615830541	0.152037258192256
ENSG00000111696	NT5DC3	5'-nucleotidase domain containing 3	protein_coding	12	104164231	104234975	32	0.310259307502703	0.20958103151279	0.310259307502703	0.508275181186421
ENSG00000111700	SLCO1B3	solute carrier organic anion transporter family, member 1B3	protein_coding	12	20963636	21069658	9	0.82274267708458	0.701994982595462	0.82274267708458	0.084735974504159
ENSG00000111707	SUDS3	suppressor of defective silencing 3 homolog (S. cerevisiae)	protein_coding	12	118814185	118855840	17	0.121781789431311	0.785829521868132	0.785829521868132	0.104671659739547
ENSG00000111711	GOLT1B	golgi transport 1B	protein_coding	12	21654715	21671342	15	0.0963452297003918	0.170960371436755	0.170960371436755	0.767104547273808
ENSG00000111713	GYS2	glycogen synthase 2 (liver)	protein_coding	12	21689123	21757781	9	0.0473097335890153	0.0252408428083121	0.0473097335890153	1.32504949754743
ENSG00000111716	LDHB	lactate dehydrogenase B	protein_coding	12	21788276	21910791	5	0.559248565540162	0.481204766278497	0.559248565540162	0.252395121185362
ENSG00000111725	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	protein_coding	12	120105558	120119435	20	0.0872736706721176	0.125665760455513	0.125665760455513	0.900783036322272
ENSG00000111726	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	protein_coding	12	22199108	22218608	5	0.075551922610145	0.0283672474718527	0.075551922610145	1.12175447946059
ENSG00000111728	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	protein_coding	12	22216707	22589975	9	0.834149439809557	0.735628974838223	0.834149439809557	0.0787561375268321
ENSG00000111729	CLEC4A	C-type lectin domain family 4, member A	protein_coding	12	8276228	8291203	6	0.645095311325659	0.544542101976979	0.645095311325659	0.19037611462865
ENSG00000111731	C2CD5	C2 calcium-dependent domain containing 5	protein_coding	12	22601517	22697480	23	0.274692070335983	0.586980866279703	0.586980866279703	0.231376055148597
ENSG00000111732	AICDA	activation-induced cytidine deaminase	protein_coding	12	8754762	8765467	2	0.604952518262993	0.689931707367109	0.689931707367109	0.1611938956127
