ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	meanTwasZscore
ENSG00000109381	ELF2	E74-like factor 2 (ets domain transcription factor) [Source:HGNC Symbol;Acc:3317]	protein_coding	4	139949266	140098372	-0.6036995
ENSG00000109390	NDUFC1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa [Source:HGNC Symbol;Acc:7705]	protein_coding	4	140211071	140223705	-0.79679715
ENSG00000109436	TBC1D9	TBC1 domain family, member 9 (with GRAM domain) [Source:HGNC Symbol;Acc:21710]	protein_coding	4	141541919	141677274	-1.61663
ENSG00000109445	ZNF330	zinc finger protein 330 [Source:HGNC Symbol;Acc:15462]	protein_coding	4	142142041	142155851	-0.663522058823529
ENSG00000109452	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa [Source:HGNC Symbol;Acc:6075]	protein_coding	4	142944313	143768585	-0.344953333333333
ENSG00000109458	GAB1	GRB2-associated binding protein 1 [Source:HGNC Symbol;Acc:4066]	protein_coding	4	144258304	144395721	0.8135225
ENSG00000109466	KLHL2	kelch-like family member 2 [Source:HGNC Symbol;Acc:6353]	protein_coding	4	166128770	166244308	0.214518375
ENSG00000109472	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:2303]	protein_coding	4	166282346	166419472	-0.637608238095238
ENSG00000109501	WFS1	Wolfram syndrome 1 (wolframin) [Source:HGNC Symbol;Acc:12762]	protein_coding	4	6271576	6304992	-1.07024444444444
ENSG00000109511	ANXA10	annexin A10 [Source:HGNC Symbol;Acc:534]	protein_coding	4	169013666	169108841	0.1698125
ENSG00000109519	GRPEL1	GrpE-like 1, mitochondrial (E. coli) [Source:HGNC Symbol;Acc:19696]	protein_coding	4	7060633	7069924	-0.307366571428571
ENSG00000109534	GAR1	GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:14264]	protein_coding	4	110736666	110745893	-0.424416642857143
ENSG00000109536	FRG1	FSHD region gene 1 [Source:HGNC Symbol;Acc:3954]	protein_coding	4	190861943	190884359	-1.15059
ENSG00000109572	CLCN3	chloride channel, voltage-sensitive 3 [Source:HGNC Symbol;Acc:2021]	protein_coding	4	170533784	170644824	-0.244069
ENSG00000109576	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:17929]	protein_coding	4	170981373	171012850	0.753910733333333
ENSG00000109586	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) [Source:HGNC Symbol;Acc:4129]	protein_coding	4	174089904	174245118	0.0547545
ENSG00000109606	DHX15	DEAH (Asp-Glu-Ala-His) box helicase 15 [Source:HGNC Symbol;Acc:2738]	protein_coding	4	24519064	24586173	-0.477883333333333
ENSG00000109610	SOD3	superoxide dismutase 3, extracellular [Source:HGNC Symbol;Acc:11181]	protein_coding	4	24791534	24802464	0.39658575
ENSG00000109618	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:30605]	protein_coding	4	25121627	25162204	-0.75078
ENSG00000109625	CPZ	carboxypeptidase Z [Source:HGNC Symbol;Acc:2333]	protein_coding	4	8594387	8621488	0.0393482727272727
ENSG00000109654	TRIM2	tripartite motif containing 2 [Source:HGNC Symbol;Acc:15974]	protein_coding	4	154073494	154260472	0.447784736842105
ENSG00000109667	SLC2A9	solute carrier family 2 (facilitated glucose transporter), member 9 [Source:HGNC Symbol;Acc:13446]	protein_coding	4	9772777	10056560	-0.270873666666667
ENSG00000109670	FBXW7	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:16712]	protein_coding	4	153242410	153457253	-1.452332
ENSG00000109680	TBC1D19	TBC1 domain family, member 19 [Source:HGNC Symbol;Acc:25624]	protein_coding	4	26578059	26756973	0.364026166666667
ENSG00000109684	CLNK	cytokine-dependent hematopoietic cell linker [Source:HGNC Symbol;Acc:17438]	protein_coding	4	10488019	10686489	0.799153333333333
ENSG00000109685	WHSC1	Wolf-Hirschhorn syndrome candidate 1 [Source:HGNC Symbol;Acc:12766]	protein_coding	4	1873151	1983934	-1.91696
ENSG00000109686	SH3D19	SH3 domain containing 19 [Source:HGNC Symbol;Acc:30418]	protein_coding	4	152023903	152246784	1.52272984615385
ENSG00000109689	STIM2	stromal interaction molecule 2 [Source:HGNC Symbol;Acc:19205]	protein_coding	4	26859300	27027003	-0.40985825
ENSG00000109705	NKX3-2	NK3 homeobox 2 [Source:HGNC Symbol;Acc:951]	protein_coding	4	13542454	13546674	-0.1504815
ENSG00000109736	MFSD10	major facilitator superfamily domain containing 10 [Source:HGNC Symbol;Acc:16894]	protein_coding	4	2932288	2936586	-0.824898333333333
ENSG00000109738	GLRB	glycine receptor, beta [Source:HGNC Symbol;Acc:4329]	protein_coding	4	157997209	158093242	0.8176455
ENSG00000109743	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:1118]	protein_coding	4	15704573	15739936	0.6811725
ENSG00000109756	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:16854]	protein_coding	4	160025330	160281321	0.6896794
ENSG00000109758	HGFAC	HGF activator [Source:HGNC Symbol;Acc:4894]	protein_coding	4	3443614	3451211	-0.0771987142857143
ENSG00000109762	SNX25	sorting nexin 25 [Source:HGNC Symbol;Acc:21883]	protein_coding	4	186125391	186291339	-0.4107325
ENSG00000109771	LRP2BP	LRP2 binding protein [Source:HGNC Symbol;Acc:25434]	protein_coding	4	186285126	186317053	-0.836853533333333
ENSG00000109775	UFSP2	UFM1-specific peptidase 2 [Source:HGNC Symbol;Acc:25640]	protein_coding	4	186320694	186347139	-1.06720011764706
ENSG00000109790	KLHL5	kelch-like family member 5 [Source:HGNC Symbol;Acc:6356]	protein_coding	4	39046659	39128477	-0.110002772727273
ENSG00000109794	FAM149A	family with sequence similarity 149, member A [Source:HGNC Symbol;Acc:24527]	protein_coding	4	187025573	187093821	1.52245768292683
ENSG00000109805	NCAPG	non-SMC condensin I complex, subunit G [Source:HGNC Symbol;Acc:24304]	protein_coding	4	17812525	17842316	0.6082
ENSG00000109814	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:12525]	protein_coding	4	39500375	39529638	0.7859856
ENSG00000109819	PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha [Source:HGNC Symbol;Acc:9237]	protein_coding	4	23756664	23900941	-0.193463
ENSG00000109832	DDX25	DEAD (Asp-Glu-Ala-Asp) box helicase 25 [Source:HGNC Symbol;Acc:18698]	protein_coding	11	125773271	125793005	-0.830140333333333
ENSG00000109846	CRYAB	crystallin, alpha B [Source:HGNC Symbol;Acc:2389]	protein_coding	11	111779289	111794446	0.301936666666667
ENSG00000109851	DBX1	developing brain homeobox 1 [Source:HGNC Symbol;Acc:33185]	protein_coding	11	20177701	20182159	1.481
ENSG00000109854	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa [Source:HGNC Symbol;Acc:16637]	protein_coding	11	20385231	20405329	0.759633708333333
ENSG00000109861	CTSC	cathepsin C [Source:HGNC Symbol;Acc:2528]	protein_coding	11	88026760	88070955	0.334665111111111
ENSG00000109881	CCDC34	coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:25079]	protein_coding	11	27352374	27385415	-1.195326
ENSG00000109911	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:1171]	protein_coding	11	31531297	31805546	0.287588333333333
ENSG00000109917	ZNF259	zinc finger protein 259 [Source:HGNC Symbol;Acc:13051]	protein_coding	11	116648436	116658766	-1.46013
ENSG00000109919	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:17587]	protein_coding	11	47638867	47664175	1.65964138461538
ENSG00000109920	FNBP4	formin binding protein 4 [Source:HGNC Symbol;Acc:19752]	protein_coding	11	47738072	47788995	0.60756525
ENSG00000109927	TECTA	tectorin alpha [Source:HGNC Symbol;Acc:11720]	protein_coding	11	120971882	121062202	0.995506
ENSG00000109929	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:10547]	protein_coding	11	121163162	121179403	0.763985818181818
ENSG00000109943	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:24313]	protein_coding	11	122709208	122743347	1.8393285
ENSG00000109944	C11orf63	chromosome 11 open reading frame 63 [Source:HGNC Symbol;Acc:26288]	protein_coding	11	122753391	122830506	0.0550408
ENSG00000109956	B3GAT1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) [Source:HGNC Symbol;Acc:921]	protein_coding	11	134248400	134281812	0.226125166666667
ENSG00000109971	HSPA8	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:5241]	protein_coding	11	122928197	122933938	-0.0378
ENSG00000109991	P2RX3	purinergic receptor P2X, ligand-gated ion channel, 3 [Source:HGNC Symbol;Acc:8534]	protein_coding	11	57105848	57138073	1.43610442857143
ENSG00000110002	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:6658]	protein_coding	11	123986069	124018428	-0.0457376363636364
ENSG00000110011	DNAJC4	DnaJ (Hsp40) homolog, subfamily C, member 4 [Source:HGNC Symbol;Acc:5271]	protein_coding	11	63998159	64001665	-0.765623714285714
ENSG00000110013	SIAE	sialic acid acetylesterase [Source:HGNC Symbol;Acc:18187]	protein_coding	11	124505288	124564198	0.871575
ENSG00000110025	SNX15	sorting nexin 15 [Source:HGNC Symbol;Acc:14978]	protein_coding	11	64794880	64808044	1.087539
ENSG00000110031	LPXN	leupaxin [Source:HGNC Symbol;Acc:14061]	protein_coding	11	58294344	58345693	-0.17236
ENSG00000110042	DTX4	deltex homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:29151]	protein_coding	11	58938903	58975982	-0.0191999166666667
ENSG00000110046	ATG2A	autophagy related 2A [Source:HGNC Symbol;Acc:29028]	protein_coding	11	64662007	64684722	0.303405
ENSG00000110048	OSBP	oxysterol binding protein [Source:HGNC Symbol;Acc:8503]	protein_coding	11	59341871	59383617	0.7864
ENSG00000110057	UNC93B1	unc-93 homolog B1 (C. elegans) [Source:HGNC Symbol;Acc:13481]	protein_coding	11	67758575	67772452	-0.538019875
ENSG00000110060	PUS3	pseudouridylate synthase 3 [Source:HGNC Symbol;Acc:25461]	protein_coding	11	125763381	125773116	-0.428213428571429
ENSG00000110063	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:29812]	protein_coding	11	126173647	126215644	0.997850230769231
ENSG00000110074	FOXRED1	FAD-dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:26927]	protein_coding	11	126139040	126148026	-0.705028553191489
ENSG00000110075	PPP6R3	protein phosphatase 6, regulatory subunit 3 [Source:HGNC Symbol;Acc:1173]	protein_coding	11	68228186	68382802	-0.627625
ENSG00000110076	NRXN2	neurexin 2 [Source:HGNC Symbol;Acc:8009]	protein_coding	11	64373646	64490660	1.68527905
ENSG00000110077	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A [Source:HGNC Symbol;Acc:13375]	protein_coding	11	59939081	59952139	-0.0276903333333333
ENSG00000110079	MS4A4A	membrane-spanning 4-domains, subfamily A, member 4A [Source:HGNC Symbol;Acc:13371]	protein_coding	11	60048014	60076445	-0.935359384615385
ENSG00000110080	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:10864]	protein_coding	11	126225535	126310239	-0.0684079
ENSG00000110090	CPT1A	carnitine palmitoyltransferase 1A (liver) [Source:HGNC Symbol;Acc:2328]	protein_coding	11	68522088	68611878	-1.38647025
ENSG00000110092	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:1582]	protein_coding	11	69455855	69469242	0.19554
ENSG00000110104	CCDC86	coiled-coil domain containing 86 [Source:HGNC Symbol;Acc:28359]	protein_coding	11	60609544	60618238	1.30232142857143
ENSG00000110107	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:17896]	protein_coding	11	60658202	60674060	-0.0879902857142857
ENSG00000110108	TMEM109	transmembrane protein 109 [Source:HGNC Symbol;Acc:28771]	protein_coding	11	60681346	60690915	0.1153975
ENSG00000110148	CCKBR	cholecystokinin B receptor [Source:HGNC Symbol;Acc:1571]	protein_coding	11	6280966	6293357	-1.34057971428571
ENSG00000110169	HPX	hemopexin [Source:HGNC Symbol;Acc:5171]	protein_coding	11	6452279	6463847	0.214572
ENSG00000110171	TRIM3	tripartite motif containing 3 [Source:HGNC Symbol;Acc:10064]	protein_coding	11	6469844	6495689	0.632868857142857
ENSG00000110172	CHORDC1	cysteine and histidine-rich domain (CHORD) containing 1 [Source:HGNC Symbol;Acc:14525]	protein_coding	11	89934328	89956532	0.174932
ENSG00000110200	ANAPC15	anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:24531]	protein_coding	11	71817424	71823826	-0.3692
ENSG00000110203	FOLR3	folate receptor 3 (gamma) [Source:HGNC Symbol;Acc:3795]	protein_coding	11	71825915	71850936	0.18700215
ENSG00000110218	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:8599]	protein_coding	11	93862094	93915138	0.0118341666666667
ENSG00000110237	ARHGEF17	Rho guanine nucleotide exchange factor (GEF) 17 [Source:HGNC Symbol;Acc:21726]	protein_coding	11	73019610	73080136	1.515426
ENSG00000110244	APOA4	apolipoprotein A-IV [Source:HGNC Symbol;Acc:602]	protein_coding	11	116691419	116694022	0.26843
ENSG00000110245	APOC3	apolipoprotein C-III [Source:HGNC Symbol;Acc:610]	protein_coding	11	116700422	116703788	0.6700005
ENSG00000110274	CEP164	centrosomal protein 164kDa [Source:HGNC Symbol;Acc:29182]	protein_coding	11	117185273	117283984	1.15703066666667
ENSG00000110315	RNF141	ring finger protein 141 [Source:HGNC Symbol;Acc:21159]	protein_coding	11	10533225	10562777	-0.0398835
ENSG00000110318	KIAA1377	KIAA1377 [Source:HGNC Symbol;Acc:29264]	protein_coding	11	101785746	101871789	0.3288019
ENSG00000110321	EIF4G2	eukaryotic translation initiation factor 4 gamma, 2 [Source:HGNC Symbol;Acc:3297]	protein_coding	11	10818597	10830657	-0.07574125
ENSG00000110324	IL10RA	interleukin 10 receptor, alpha [Source:HGNC Symbol;Acc:5964]	protein_coding	11	117857063	117872194	-0.462983333333333
ENSG00000110328	GALNT18	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 18 [Source:HGNC Symbol;Acc:30488]	protein_coding	11	11292423	11643552	0.5837622
ENSG00000110330	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:590]	protein_coding	11	102217942	102249401	0.216215
ENSG00000110344	UBE4A	ubiquitination factor E4A [Source:HGNC Symbol;Acc:12499]	protein_coding	11	118230300	118269926	0.28313
ENSG00000110367	DDX6	DEAD (Asp-Glu-Ala-Asp) box helicase 6 [Source:HGNC Symbol;Acc:2747]	protein_coding	11	118620034	118661845	-0.6065945
ENSG00000110375	UPK2	uroplakin 2 [Source:HGNC Symbol;Acc:12579]	protein_coding	11	118795873	118829269	-1.703804
ENSG00000110395	CBL	Cbl proto-oncogene, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:1541]	protein_coding	11	119076752	119178859	0.53081335
ENSG00000110400	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C) [Source:HGNC Symbol;Acc:9706]	protein_coding	11	119494120	119599794	-1.125919
ENSG00000110422	HIPK3	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:4915]	protein_coding	11	33278218	33378569	-0.1507548
ENSG00000110427	KIAA1549L	KIAA1549-like [Source:HGNC Symbol;Acc:24836]	protein_coding	11	33563618	33695648	0.00246776923076923
ENSG00000110429	FBXO3	F-box protein 3 [Source:HGNC Symbol;Acc:13582]	protein_coding	11	33762485	33796089	0.8039025
ENSG00000110435	PDHX	pyruvate dehydrogenase complex, component X [Source:HGNC Symbol;Acc:21350]	protein_coding	11	34937376	35042138	-2.00831193333333
ENSG00000110436	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:HGNC Symbol;Acc:10940]	protein_coding	11	35272753	35441610	-1.7102315
ENSG00000110442	COMMD9	COMM domain containing 9 [Source:HGNC Symbol;Acc:25014]	protein_coding	11	36295051	36310999	0.424877
ENSG00000110446	SLC15A3	solute carrier family 15 (oligopeptide transporter), member 3 [Source:HGNC Symbol;Acc:18068]	protein_coding	11	60704632	60720002	0.326375
ENSG00000110448	CD5	CD5 molecule [Source:HGNC Symbol;Acc:1685]	protein_coding	11	60869867	60895324	0.559069333333333
ENSG00000110455	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional) [Source:HGNC Symbol;Acc:23989]	protein_coding	11	44087475	44105764	-0.975691958333333
ENSG00000110484	SCGB2A2	secretoglobin, family 2A, member 2 [Source:HGNC Symbol;Acc:7050]	protein_coding	11	62037627	62040628	-0.193128333333333
ENSG00000110492	MDK	midkine (neurite growth-promoting factor 2) [Source:HGNC Symbol;Acc:6972]	protein_coding	11	46402306	46405375	0.0897015625
ENSG00000110514	MADD	MAP-kinase activating death domain [Source:HGNC Symbol;Acc:6766]	protein_coding	11	47290712	47351582	0.996035416666667
ENSG00000110536	PTPMT1	protein tyrosine phosphatase, mitochondrial 1 [Source:HGNC Symbol;Acc:26965]	protein_coding	11	47587349	47593748	-0.3180245
ENSG00000110583	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:HGNC Symbol;Acc:25845]	protein_coding	11	63706466	63724800	0.7054045
ENSG00000110619	CARS	cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493]	protein_coding	11	3022152	3078843	-0.2533725
ENSG00000110628	SLC22A18	solute carrier family 22, member 18 [Source:HGNC Symbol;Acc:10964]	protein_coding	11	2921021	2946476	0.319419730769231
ENSG00000110651	CD81	CD81 molecule [Source:HGNC Symbol;Acc:1701]	protein_coding	11	2397407	2418649	0.1262682
ENSG00000110660	SLC35F2	solute carrier family 35, member F2 [Source:HGNC Symbol;Acc:23615]	protein_coding	11	107661717	107799019	-0.975349833333333
ENSG00000110665	C11orf21	chromosome 11 open reading frame 21 [Source:HGNC Symbol;Acc:13231]	protein_coding	11	2316875	2324279	1.33353521428571
ENSG00000110675	ELMOD1	ELMO/CED-12 domain containing 1 [Source:HGNC Symbol;Acc:25334]	protein_coding	11	107461817	107537505	-0.628098181818182
ENSG00000110693	SOX6	SRY (sex determining region Y)-box 6 [Source:HGNC Symbol;Acc:16421]	protein_coding	11	15987995	16761138	0.8856
ENSG00000110696	C11orf58	chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:16990]	protein_coding	11	16634679	16778428	1.25356
ENSG00000110697	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1 [Source:HGNC Symbol;Acc:9003]	protein_coding	11	67259239	67273734	-0.89189
ENSG00000110700	RPS13	ribosomal protein S13 [Source:HGNC Symbol;Acc:10386]	protein_coding	11	17095936	17099276	-0.435486785714286
ENSG00000110711	AIP	aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:358]	protein_coding	11	67250512	67258574	-1.2019925
ENSG00000110713	NUP98	nucleoporin 98kDa [Source:HGNC Symbol;Acc:8068]	protein_coding	11	3692313	3819022	0.0401275
ENSG00000110717	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7715]	protein_coding	11	67798094	67804111	-0.436922466666667
ENSG00000110719	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3 [Source:HGNC Symbol;Acc:11647]	protein_coding	11	67806483	67818131	-0.0560412857142857
ENSG00000110721	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:1937]	protein_coding	11	67820553	67888911	-1.44462
ENSG00000110723	EXPH5	exophilin 5 [Source:HGNC Symbol;Acc:30578]	protein_coding	11	108376158	108464465	0.970058166666667
ENSG00000110756	HPS5	Hermansky-Pudlak syndrome 5 [Source:HGNC Symbol;Acc:17022]	protein_coding	11	18300223	18343745	0.0949976363636364
ENSG00000110768	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa [Source:HGNC Symbol;Acc:4655]	protein_coding	11	18343842	18388591	0.378489743589744
ENSG00000110777	POU2AF1	POU class 2 associating factor 1 [Source:HGNC Symbol;Acc:9211]	protein_coding	11	111222977	111326355	0.233907
ENSG00000110786	PTPN5	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) [Source:HGNC Symbol;Acc:9657]	protein_coding	11	18749475	18814268	0.155789565217391
ENSG00000110801	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9 [Source:HGNC Symbol;Acc:9567]	protein_coding	12	122326637	122355767	-0.308834
ENSG00000110811	LEPREL2	leprecan-like 2 [Source:HGNC Symbol;Acc:19318]	polymorphic_pseudogene	12	6937572	6949018	-0.8112
ENSG00000110841	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:HGNC Symbol;Acc:9249]	protein_coding	12	27676364	27848497	-1.37871
ENSG00000110844	PRPF40B	PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:25031]	protein_coding	12	49962001	50031607	-0.921775
ENSG00000110851	PRDM4	PR domain containing 4 [Source:HGNC Symbol;Acc:9348]	protein_coding	12	108126643	108155049	0.518532285714286
ENSG00000110852	CLEC2B	C-type lectin domain family 2, member B [Source:HGNC Symbol;Acc:2053]	protein_coding	12	10005583	10022735	-0.1095606
ENSG00000110871	COQ5	coenzyme Q5 homolog, methyltransferase (S. cerevisiae) [Source:HGNC Symbol;Acc:28722]	protein_coding	12	120941077	120972153	0.856935205128205
ENSG00000110876	SELPLG	selectin P ligand [Source:HGNC Symbol;Acc:10722]	protein_coding	12	109015686	109027735	-0.03364
ENSG00000110880	CORO1C	coronin, actin binding protein, 1C [Source:HGNC Symbol;Acc:2254]	protein_coding	12	109038885	109125372	0.3189592
ENSG00000110881	ASIC1	acid-sensing (proton-gated) ion channel 1 [Source:HGNC Symbol;Acc:100]	protein_coding	12	50451331	50477394	-2.61594154545455
ENSG00000110888	CAPRIN2	caprin family member 2 [Source:HGNC Symbol;Acc:21259]	protein_coding	12	30862486	30907885	-0.120890859259259
ENSG00000110900	TSPAN11	tetraspanin 11 [Source:HGNC Symbol;Acc:30795]	protein_coding	12	31079362	31149534	0.491549555555556
ENSG00000110906	KCTD10	potassium channel tetramerization domain containing 10 [Source:HGNC Symbol;Acc:23236]	protein_coding	12	109886461	109915206	-0.0404363333333333
ENSG00000110911	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 [Source:HGNC Symbol;Acc:10908]	protein_coding	12	51373184	51422349	0.940132166666667
ENSG00000110917	MLEC	malectin [Source:HGNC Symbol;Acc:28973]	protein_coding	12	121124672	121139667	-1.51643125
ENSG00000110921	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:7530]	protein_coding	12	110011060	110035067	0.0277505
ENSG00000110925	CSRNP2	cysteine-serine-rich nuclear protein 2 [Source:HGNC Symbol;Acc:16006]	protein_coding	12	51454990	51477447	1.8502559
ENSG00000110931	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta [Source:HGNC Symbol;Acc:1470]	protein_coding	12	121675497	121736111	-0.198825
ENSG00000110934	BIN2	bridging integrator 2 [Source:HGNC Symbol;Acc:1053]	protein_coding	12	51674822	51718452	-0.916
ENSG00000110944	IL23A	interleukin 23, alpha subunit p19 [Source:HGNC Symbol;Acc:15488]	protein_coding	12	56732663	56734193	0.566485666666667
ENSG00000110955	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide [Source:HGNC Symbol;Acc:830]	protein_coding	12	57031959	57039798	-1.6369
ENSG00000110975	SYT10	synaptotagmin X [Source:HGNC Symbol;Acc:19266]	protein_coding	12	33527173	33592754	0.250572857142857
ENSG00000110987	BCL7A	B-cell CLL/lymphoma 7A [Source:HGNC Symbol;Acc:1004]	protein_coding	12	122457328	122499948	0.4859525
ENSG00000111011	RSRC2	arginine/serine-rich coiled-coil 2 [Source:HGNC Symbol;Acc:30559]	protein_coding	12	122989190	123011547	0.072334
ENSG00000111012	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2606]	protein_coding	12	58156122	58161034	-1.22625316666667
ENSG00000111046	MYF6	myogenic factor 6 (herculin) [Source:HGNC Symbol;Acc:7566]	protein_coding	12	81101277	81103253	1.33808
ENSG00000111052	LIN7A	lin-7 homolog A (C. elegans) [Source:HGNC Symbol;Acc:17787]	protein_coding	12	81186299	81331704	0.130892
ENSG00000111057	KRT18	keratin 18 [Source:HGNC Symbol;Acc:6430]	protein_coding	12	53342655	53346620	0.125285
ENSG00000111058	ACSS3	acyl-CoA synthetase short-chain family member 3 [Source:HGNC Symbol;Acc:24723]	protein_coding	12	81416162	81650533	0.2557280625
ENSG00000111077	TENC1	tensin like C1 domain containing phosphatase (tensin 2) [Source:HGNC Symbol;Acc:19737]	protein_coding	12	53440835	53458156	0.302001
ENSG00000111087	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:4317]	protein_coding	12	57853918	57866037	0.8234375
ENSG00000111110	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent, 1H [Source:HGNC Symbol;Acc:18583]	protein_coding	12	63037762	63328817	-0.313174555555556
ENSG00000111142	METAP2	methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:16672]	protein_coding	12	95867296	95909615	-2.476395
ENSG00000111144	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:6710]	protein_coding	12	96394606	96437298	-0.152356727272727
ENSG00000111145	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2) [Source:HGNC Symbol;Acc:3325]	protein_coding	12	96588160	96663613	0.935746
ENSG00000111181	SLC6A12	solute carrier family 6 (neurotransmitter transporter), member 12 [Source:HGNC Symbol;Acc:11045]	protein_coding	12	299243	323689	2.33947
ENSG00000111186	WNT5B	wingless-type MMTV integration site family, member 5B [Source:HGNC Symbol;Acc:16265]	protein_coding	12	1639057	1756409	1.29638875
ENSG00000111196	MAGOHB	mago-nashi homolog B (Drosophila) [Source:HGNC Symbol;Acc:25504]	protein_coding	12	10758612	10766222	-0.571428333333333
ENSG00000111199	TRPV4	transient receptor potential cation channel, subfamily V, member 4 [Source:HGNC Symbol;Acc:18083]	protein_coding	12	110220890	110270540	1.56616433333333
ENSG00000111215	PRR4	proline rich 4 (lacrimal) [Source:HGNC Symbol;Acc:18020]	protein_coding	12	10977559	11324212	-0.759248025641026
ENSG00000111218	PRMT8	protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:5188]	protein_coding	12	3490515	3703139	0.3660325
ENSG00000111224	PARP11	poly (ADP-ribose) polymerase family, member 11 [Source:HGNC Symbol;Acc:1186]	protein_coding	12	3900213	3982608	0.936791722222222
ENSG00000111229	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa [Source:HGNC Symbol;Acc:706]	protein_coding	12	110872630	110888212	0.265625625
ENSG00000111231	GPN3	GPN-loop GTPase 3 [Source:HGNC Symbol;Acc:30186]	protein_coding	12	110890289	110907073	0.417781
ENSG00000111237	VPS29	vacuolar protein sorting 29 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14340]	protein_coding	12	110928902	110939922	-0.198802
ENSG00000111247	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:16956]	protein_coding	12	4647950	4669214	-1.1825
